type,part_of_speech,source_section,line,english,japanese,explanation,example_1_en,example_1_ja,example_2_en,example_2_ja,review_status
word,function,beginnerWords,52,most,ほとんどの,,Most people use this app.,ほとんどの人がこのアプリを使います。,This is the most popular menu item.,これは一番人気のメニューです。,reviewed
word,function,beginnerWords,53,other,ほかの,,Do you have any other ideas?,ほかに案はありますか。,Let's try the other door.,もう一方のドアを試しましょう。,reviewed
word,function,beginnerWords,54,another,もう一つの,,Can I have another cup?,もう1杯もらえますか。,Let's meet another day.,別の日に会いましょう。,reviewed
word,function,beginnerWords,55,same,同じ,,We chose the same train.,私たちは同じ電車を選びました。,Please use the same password.,同じパスワードを使ってください。,reviewed
word,function,beginnerWords,56,different,違う,,I need a different size.,違うサイズが必要です。,This looks different now.,これは今、違って見えます。,reviewed
word,function,beginnerWords,57,one,1,,,,,,needs_example_review
word,function,beginnerWords,58,two,2,,,,,,needs_example_review
word,function,beginnerWords,59,three,3,,,,,,needs_example_review
word,function,beginnerWords,60,four,4,,,,,,needs_example_review
word,function,beginnerWords,61,five,5,,,,,,needs_example_review
word,function,beginnerWords,62,six,6,,,,,,needs_example_review
word,function,beginnerWords,63,seven,7,,,,,,needs_example_review
word,function,beginnerWords,64,eight,8,,,,,,needs_example_review
word,function,beginnerWords,65,nine,9,,,,,,needs_example_review
word,function,beginnerWords,66,ten,10,,,,,,needs_example_review
word,function,beginnerWords,67,eleven,11,,,,,,needs_example_review
word,function,beginnerWords,68,twelve,12,,,,,,needs_example_review
word,function,beginnerWords,69,thirteen,13,,,,,,needs_example_review
word,function,beginnerWords,70,fourteen,14,,There are fourteen students in the room.,部屋には14人の生徒がいます。,The bus leaves at fourteen thirty.,バスは14時30分に出発します。,reviewed
word,function,beginnerWords,71,fifteen,15,,,,,,needs_example_review
word,function,beginnerWords,72,sixteen,16,,,,,,needs_example_review
word,function,beginnerWords,73,seventeen,17,,,,,,needs_example_review
word,function,beginnerWords,74,eighteen,18,,,,,,needs_example_review
word,function,beginnerWords,75,nineteen,19,,,,,,needs_example_review
word,function,beginnerWords,76,twenty,20,,,,,,needs_example_review
word,function,beginnerWords,77,first,最初の,,This is my first time here.,ここに来るのは初めてです。,She finished first.,彼女は1位で終えました。,reviewed
word,function,beginnerWords,78,second,2番目の,,,,,,needs_example_review
word,function,beginnerWords,79,third,3番目の,,,,,,needs_example_review
word,function,beginnerWords,80,and,そして,,I like coffee and tea.,私はコーヒーと紅茶が好きです。,She opened the door and smiled.,彼女はドアを開けて微笑みました。,reviewed
word,function,beginnerWords,81,but,しかし,,"I am tired, but I will go.",疲れていますが、行きます。,This is small but useful.,これは小さいですが役に立ちます。,reviewed
word,function,beginnerWords,82,or,または,,Do you want tea or coffee?,紅茶かコーヒーが欲しいですか。,We can go today or tomorrow.,今日か明日に行けます。,reviewed
word,function,beginnerWords,83,because,なぜなら,,I stayed home because it was raining.,雨が降っていたので家にいました。,She is absent because she is sick.,彼女は具合が悪いので欠席しています。,reviewed
word,function,beginnerWords,84,if,もし,,"If you need help, call me.",助けが必要なら私に電話してください。,"If it rains, we will stay inside.",雨なら中にいます。,reviewed
word,function,beginnerWords,85,then,そのとき,,"Finish this first, then take a break.",これを先に終えて、それから休んでください。,I was busy then.,私はそのとき忙しかったです。,reviewed
word,function,beginnerWords,86,so,だから,,"I was tired, so I went home.",疲れていたので家に帰りました。,"It was cold, so I wore a coat.",寒かったのでコートを着ました。,reviewed
word,function,beginnerWords,87,with,〜と一緒に,,I went there with my friend.,友だちと一緒にそこへ行きました。,Please write with this pen.,このペンで書いてください。,reviewed
word,function,beginnerWords,88,without,〜なしで,,I left without my umbrella.,傘を持たずに出かけました。,Don't go out without your phone.,スマホなしで外に出ないでください。,reviewed
word,function,beginnerWords,89,for,〜のために,,This gift is for you.,このプレゼントはあなたのためのものです。,I studied for two hours.,私は2時間勉強しました。,reviewed
word,function,beginnerWords,90,from,〜から,,I am from Japan.,私は日本出身です。,This email is from my boss.,このメールは上司からです。,reviewed
word,function,beginnerWords,91,to,〜へ,,I go to school by train.,私は電車で学校へ行きます。,Please send this to me.,これを私に送ってください。,reviewed
word,function,beginnerWords,92,at,〜で,,Let's meet at the station.,駅で会いましょう。,The class starts at nine.,授業は9時に始まります。,reviewed
word,function,beginnerWords,93,in,〜の中で,,She is in the room.,彼女は部屋の中にいます。,I was born in April.,私は4月に生まれました。,reviewed
word,function,beginnerWords,94,on,〜の上に,,The book is on the table.,本はテーブルの上にあります。,I have a meeting on Monday.,月曜日に会議があります。,reviewed
word,function,beginnerWords,95,under,〜の下に,,The bag is under the chair.,かばんは椅子の下にあります。,There is a cat under the table.,テーブルの下に猫がいます。,reviewed
word,function,beginnerWords,96,near,〜の近くに,,My office is near the station.,私の職場は駅の近くです。,Let's meet near the entrance.,入口の近くで会いましょう。,reviewed
word,function,beginnerWords,97,between,〜の間に,,The bank is between the cafe and the hotel.,銀行はカフェとホテルの間にあります。,Please sit between us.,私たちの間に座ってください。,reviewed
word,function,beginnerWords,98,about,〜について,,I want to talk about this.,これについて話したいです。,This book is about travel.,この本は旅行についての本です。,reviewed
word,function,beginnerWords,99,before,〜の前に,,Please call me before noon.,正午前に電話してください。,I eat breakfast before work.,仕事の前に朝食を食べます。,reviewed
word,function,beginnerWords,100,after,〜の後に,,Let's talk after lunch.,昼食後に話しましょう。,I study after dinner.,私は夕食後に勉強します。,reviewed
word,noun,beginnerWords,103,person,人,,,,,,noun_no_example
word,noun,beginnerWords,104,people,人々,,,,,,noun_no_example
word,noun,beginnerWords,105,name,名前,,,,,,noun_no_example
word,noun,beginnerWords,106,friend,友だち,,,,,,noun_no_example
word,noun,beginnerWords,107,family,家族,,,,,,noun_no_example
word,noun,beginnerWords,108,mother,母,,,,,,noun_no_example
word,noun,beginnerWords,109,father,父,,,,,,noun_no_example
word,noun,beginnerWords,110,mom,お母さん,,,,,,noun_no_example
word,noun,beginnerWords,111,dad,お父さん,,,,,,noun_no_example
word,noun,beginnerWords,112,parent,親,,,,,,noun_no_example
word,noun,beginnerWords,113,child,子ども,,,,,,noun_no_example
word,noun,beginnerWords,114,baby,赤ちゃん,,,,,,noun_no_example
word,noun,beginnerWords,115,boy,男の子,,,,,,noun_no_example
word,noun,beginnerWords,116,girl,女の子,,,,,,noun_no_example
word,noun,beginnerWords,117,man,男性,,,,,,noun_no_example
word,noun,beginnerWords,118,woman,女性,,,,,,noun_no_example
word,noun,beginnerWords,119,brother,兄弟,,,,,,noun_no_example
word,noun,beginnerWords,120,sister,姉妹,,,,,,noun_no_example
word,noun,beginnerWords,121,son,息子,,,,,,noun_no_example
word,noun,beginnerWords,122,daughter,娘,,,,,,noun_no_example
word,noun,beginnerWords,123,husband,夫,,,,,,noun_no_example
word,noun,beginnerWords,124,wife,妻,,,,,,noun_no_example
word,noun,beginnerWords,125,grandfather,祖父,,,,,,noun_no_example
word,noun,beginnerWords,126,grandmother,祖母,,,,,,noun_no_example
word,noun,beginnerWords,127,uncle,おじ,,,,,,noun_no_example
word,noun,beginnerWords,128,aunt,おば,,,,,,noun_no_example
word,noun,beginnerWords,129,cousin,いとこ,,,,,,noun_no_example
word,noun,beginnerWords,130,neighbor,近所の人,,,,,,noun_no_example
word,noun,beginnerWords,131,classmate,クラスメート,,,,,,noun_no_example
word,noun,beginnerWords,132,teacher,先生,,,,,,noun_no_example
word,noun,beginnerWords,133,student,生徒,,,,,,noun_no_example
word,noun,beginnerWords,134,doctor,医者,,,,,,noun_no_example
word,noun,beginnerWords,135,nurse,看護師,,,,,,noun_no_example
word,noun,beginnerWords,136,driver,運転手,,,,,,noun_no_example
word,noun,beginnerWords,137,cook,料理人,,,,,,noun_no_example
word,noun,beginnerWords,138,chef,シェフ,,,,,,noun_no_example
word,noun,beginnerWords,139,worker,働く人,,,,,,noun_no_example
word,noun,beginnerWords,140,staff,スタッフ,,,,,,noun_no_example
word,noun,beginnerWords,141,manager,管理者,,,,,,noun_no_example
word,noun,beginnerWords,142,boss,上司,,,,,,noun_no_example
word,noun,beginnerWords,143,coworker,同僚,,,,,,noun_no_example
word,noun,beginnerWords,144,customer,お客,,,,,,noun_no_example
word,noun,beginnerWords,145,guest,客,,,,,,noun_no_example
word,noun,beginnerWords,146,tourist,観光客,,,,,,noun_no_example
word,noun,beginnerWords,147,guide,案内人,,,,,,noun_no_example
word,noun,beginnerWords,148,police officer,警察官,,,,,,noun_no_example
word,noun,beginnerWords,149,firefighter,消防士,,,,,,noun_no_example
word,noun,beginnerWords,150,engineer,技術者,,,,,,noun_no_example
word,noun,beginnerWords,151,designer,デザイナー,,,,,,noun_no_example
word,noun,beginnerWords,152,artist,芸術家,,,,,,noun_no_example
word,noun,beginnerWords,153,musician,音楽家,,,,,,noun_no_example
word,noun,beginnerWords,154,player,選手,,,,,,noun_no_example
word,noun,beginnerWords,155,owner,所有者,,,,,,noun_no_example
word,noun,beginnerWords,156,leader,リーダー,,,,,,noun_no_example
word,noun,beginnerWords,157,member,メンバー,,,,,,noun_no_example
word,noun,beginnerWords,158,team,チーム,,,,,,noun_no_example
word,noun,beginnerWords,159,group,グループ,,,,,,noun_no_example
word,noun,beginnerWords,160,couple,カップル,,,,,,noun_no_example
word,noun,beginnerWords,161,age,年齢,,,,,,noun_no_example
word,noun,beginnerWords,162,job,仕事,,,,,,noun_no_example
word,noun,beginnerWords,163,career,職業人生,,,,,,noun_no_example
word,noun,beginnerWords,166,home,家,,,,,,noun_no_example
word,noun,beginnerWords,167,house,住宅,,,,,,noun_no_example
word,noun,beginnerWords,168,apartment,アパート,,,,,,noun_no_example
word,noun,beginnerWords,169,building,建物,,,,,,noun_no_example
word,noun,beginnerWords,170,room,部屋,,,,,,noun_no_example
word,noun,beginnerWords,171,living room,居間,,,,,,noun_no_example
word,noun,beginnerWords,172,bedroom,寝室,,,,,,noun_no_example
word,noun,beginnerWords,173,bathroom,浴室,,,,,,noun_no_example
word,noun,beginnerWords,174,restroom,トイレ,,,,,,noun_no_example
word,noun,beginnerWords,175,kitchen,台所,,,,,,noun_no_example
word,noun,beginnerWords,176,hallway,廊下,,,,,,noun_no_example
word,noun,beginnerWords,177,stairs,階段,,,,,,noun_no_example
word,noun,beginnerWords,178,elevator,エレベーター,,,,,,noun_no_example
word,noun,beginnerWords,179,door,ドア,,,,,,noun_no_example
word,noun,beginnerWords,180,window,窓,,,,,,noun_no_example
word,noun,beginnerWords,181,wall,壁,,,,,,noun_no_example
word,noun,beginnerWords,182,floor,床,,,,,,noun_no_example
word,noun,beginnerWords,183,ceiling,天井,,,,,,noun_no_example
word,noun,beginnerWords,184,roof,屋根,,,,,,noun_no_example
word,noun,beginnerWords,185,key,鍵,,,,,,noun_no_example
word,noun,beginnerWords,186,lock,鍵穴,,,,,,noun_no_example
word,noun,beginnerWords,187,table,テーブル,,,,,,noun_no_example
word,noun,beginnerWords,188,desk,机,,,,,,noun_no_example
word,noun,beginnerWords,189,chair,椅子,,,,,,noun_no_example
word,noun,beginnerWords,190,sofa,ソファ,,,,,,noun_no_example
word,noun,beginnerWords,191,bed,ベッド,,,,,,noun_no_example
word,noun,beginnerWords,192,pillow,枕,,,,,,noun_no_example
word,noun,beginnerWords,193,blanket,毛布,,,,,,noun_no_example
word,noun,beginnerWords,194,sheet,シーツ,,,,,,noun_no_example
word,noun,beginnerWords,195,towel,タオル,,,,,,noun_no_example
word,noun,beginnerWords,196,mirror,鏡,,,,,,noun_no_example
word,noun,beginnerWords,197,lamp,ランプ,,,,,,noun_no_example
word,noun,beginnerWords,198,light,明かり,,,,,,noun_no_example
word,noun,beginnerWords,199,fan,扇風機,,,,,,noun_no_example
word,noun,beginnerWords,200,air conditioner,エアコン,,,,,,noun_no_example
word,noun,beginnerWords,201,heater,暖房器具,,,,,,noun_no_example
word,noun,beginnerWords,202,refrigerator,冷蔵庫,,,,,,noun_no_example
word,noun,beginnerWords,203,freezer,冷凍庫,,,,,,noun_no_example
word,noun,beginnerWords,204,microwave,電子レンジ,,,,,,noun_no_example
word,noun,beginnerWords,205,oven,オーブン,,,,,,noun_no_example
word,noun,beginnerWords,206,stove,コンロ,,,,,,noun_no_example
word,noun,beginnerWords,207,sink,流し台,,,,,,noun_no_example
word,noun,beginnerWords,208,cup,カップ,,,,,,noun_no_example
word,noun,beginnerWords,209,glass,グラス,,,,,,noun_no_example
word,noun,beginnerWords,210,plate,皿,,,,,,noun_no_example
word,noun,beginnerWords,211,bowl,ボウル,,,,,,noun_no_example
word,noun,beginnerWords,212,fork,フォーク,,,,,,noun_no_example
word,noun,beginnerWords,213,knife,ナイフ,,,,,,noun_no_example
word,noun,beginnerWords,214,spoon,スプーン,,,,,,noun_no_example
word,noun,beginnerWords,215,chopsticks,箸,,,,,,noun_no_example
word,noun,beginnerWords,216,pan,フライパン,,,,,,noun_no_example
word,noun,beginnerWords,217,pot,鍋,,,,,,noun_no_example
word,noun,beginnerWords,218,bag,かばん,,,,,,noun_no_example
word,noun,beginnerWords,219,backpack,リュック,,,,,,noun_no_example
word,noun,beginnerWords,220,wallet,財布,,,,,,noun_no_example
word,noun,beginnerWords,221,purse,小銭入れ,,,,,,noun_no_example
word,noun,beginnerWords,222,umbrella,傘,,,,,,noun_no_example
word,noun,beginnerWords,223,watch,腕時計,,,,,,noun_no_example
word,noun,beginnerWords,224,clock,時計,,,,,,noun_no_example
word,noun,beginnerWords,224.5,minute,1分 / 少しの時間,,Do you have a minute?,少し時間ありますか。,I'll be back in a minute.,すぐ戻ります。,reviewed
word,noun,beginnerWords,225,calendar,カレンダー,,,,,,noun_no_example
word,noun,beginnerWords,226,battery,電池,,,,,,noun_no_example
word,noun,beginnerWords,229,water,水,,,,,,noun_no_example
word,noun,beginnerWords,230,tea,お茶,,,,,,noun_no_example
word,noun,beginnerWords,231,coffee,コーヒー,,,,,,noun_no_example
word,noun,beginnerWords,232,milk,牛乳,,,,,,noun_no_example
word,noun,beginnerWords,233,juice,ジュース,,,,,,noun_no_example
word,noun,beginnerWords,234,soda,炭酸飲料,,,,,,noun_no_example
word,noun,beginnerWords,235,wine,ワイン,,,,,,noun_no_example
word,noun,beginnerWords,236,beer,ビール,,,,,,noun_no_example
word,noun,beginnerWords,237,bread,パン,,,,,,noun_no_example
word,noun,beginnerWords,238,rice,ご飯,,,,,,noun_no_example
word,noun,beginnerWords,239,noodles,麺,,,,,,noun_no_example
word,noun,beginnerWords,240,soup,スープ,,,,,,noun_no_example
word,noun,beginnerWords,241,salad,サラダ,,,,,,noun_no_example
word,noun,beginnerWords,242,sandwich,サンドイッチ,,,,,,noun_no_example
word,noun,beginnerWords,243,hamburger,ハンバーガー,,,,,,noun_no_example
word,noun,beginnerWords,244,pizza,ピザ,,,,,,noun_no_example
word,noun,beginnerWords,245,pasta,パスタ,,,,,,noun_no_example
word,noun,beginnerWords,246,cake,ケーキ,,,,,,noun_no_example
word,noun,beginnerWords,247,cookie,クッキー,,,,,,noun_no_example
word,noun,beginnerWords,248,ice cream,アイスクリーム,,,,,,noun_no_example
word,noun,beginnerWords,249,breakfast,朝食,,,,,,noun_no_example
word,noun,beginnerWords,250,lunch,昼食,,,,,,noun_no_example
word,noun,beginnerWords,251,dinner,夕食,,,,,,noun_no_example
word,noun,beginnerWords,252,snack,軽食,,,,,,noun_no_example
word,noun,beginnerWords,253,meal,食事,,,,,,noun_no_example
word,noun,beginnerWords,254,menu,メニュー,,,,,,noun_no_example
word,noun,beginnerWords,255,dish,料理,,,,,,noun_no_example
word,noun,beginnerWords,256,order,注文,,,,,,noun_no_example
word,noun,beginnerWords,257,bill,会計,,,,,,noun_no_example
word,noun,beginnerWords,258,receipt,レシート,,,,,,noun_no_example
word,noun,beginnerWords,259,apple,りんご,,,,,,noun_no_example
word,noun,beginnerWords,260,banana,バナナ,,,,,,noun_no_example
word,noun,beginnerWords,261,orange,オレンジ,,,,,,noun_no_example
word,noun,beginnerWords,262,grape,ぶどう,,,,,,noun_no_example
word,noun,beginnerWords,263,strawberry,いちご,,,,,,noun_no_example
word,noun,beginnerWords,264,peach,桃,,,,,,noun_no_example
word,noun,beginnerWords,265,lemon,レモン,,,,,,noun_no_example
word,noun,beginnerWords,266,melon,メロン,,,,,,noun_no_example
word,noun,beginnerWords,267,pineapple,パイナップル,,,,,,noun_no_example
word,noun,beginnerWords,268,tomato,トマト,,,,,,noun_no_example
word,noun,beginnerWords,269,potato,じゃがいも,,,,,,noun_no_example
word,noun,beginnerWords,270,onion,玉ねぎ,,,,,,noun_no_example
word,noun,beginnerWords,271,carrot,にんじん,,,,,,noun_no_example
word,noun,beginnerWords,272,cabbage,キャベツ,,,,,,noun_no_example
word,noun,beginnerWords,273,lettuce,レタス,,,,,,noun_no_example
word,noun,beginnerWords,274,corn,とうもろこし,,,,,,noun_no_example
word,noun,beginnerWords,275,bean,豆,,,,,,noun_no_example
word,noun,beginnerWords,276,egg,卵,,,,,,noun_no_example
word,noun,beginnerWords,277,meat,肉,,,,,,noun_no_example
word,noun,beginnerWords,278,beef,牛肉,,,,,,noun_no_example
word,noun,beginnerWords,279,pork,豚肉,,,,,,noun_no_example
word,noun,beginnerWords,280,chicken,鶏肉,,,,,,noun_no_example
word,noun,beginnerWords,281,fish,魚,,,,,,noun_no_example
word,noun,beginnerWords,282,shrimp,えび,,,,,,noun_no_example
word,noun,beginnerWords,283,cheese,チーズ,,,,,,noun_no_example
word,noun,beginnerWords,284,butter,バター,,,,,,noun_no_example
word,noun,beginnerWords,285,salt,塩,,,,,,noun_no_example
word,noun,beginnerWords,286,sugar,砂糖,,,,,,noun_no_example
word,noun,beginnerWords,287,pepper,こしょう,,,,,,noun_no_example
word,noun,beginnerWords,288,sauce,ソース,,,,,,noun_no_example
word,noun,beginnerWords,291,place,場所,,,,,,noun_no_example
word,noun,beginnerWords,292,area,地域,,,,,,noun_no_example
word,noun,beginnerWords,293,street,通り,,,,,,noun_no_example
word,noun,beginnerWords,294,road,道路,,,,,,noun_no_example
word,noun,beginnerWords,295,corner,角,,,,,,noun_no_example
word,noun,beginnerWords,296,crosswalk,横断歩道,,,,,,noun_no_example
word,noun,beginnerWords,297,bridge,橋,,,,,,noun_no_example
word,noun,beginnerWords,298,park,公園,,,,,,noun_no_example
word,noun,beginnerWords,299,station,駅,,,,,,noun_no_example
word,noun,beginnerWords,300,bus stop,バス停,,,,,,noun_no_example
word,noun,beginnerWords,301,airport,空港,,,,,,noun_no_example
word,noun,beginnerWords,302,terminal,ターミナル,,,,,,noun_no_example
word,noun,beginnerWords,303,gate,搭乗口,,,,,,noun_no_example
word,noun,beginnerWords,304,hotel,ホテル,,,,,,noun_no_example
word,noun,beginnerWords,305,hostel,ホステル,,,,,,noun_no_example
word,noun,beginnerWords,306,restaurant,レストラン,,,,,,noun_no_example
word,noun,beginnerWords,307,cafe,カフェ,,,,,,noun_no_example
word,noun,beginnerWords,308,shop,店,,,,,,noun_no_example
word,noun,beginnerWords,309,store,店舗,,,,,,noun_no_example
word,noun,beginnerWords,310,supermarket,スーパー,,,,,,noun_no_example
word,noun,beginnerWords,311,convenience store,コンビニ,,,,,,noun_no_example
word,noun,beginnerWords,312,market,市場,,,,,,noun_no_example
word,noun,beginnerWords,313,pharmacy,薬局,,,,,,noun_no_example
word,noun,beginnerWords,314,hospital,病院,,,,,,noun_no_example
word,noun,beginnerWords,315,clinic,診療所,,,,,,noun_no_example
word,noun,beginnerWords,316,bank,銀行,,,,,,noun_no_example
word,noun,beginnerWords,317,ATM,ATM,,,,,,noun_no_example
word,noun,beginnerWords,318,post office,郵便局,,,,,,noun_no_example
word,noun,beginnerWords,319,library,図書館,,,,,,noun_no_example
word,noun,beginnerWords,320,museum,博物館,,,,,,noun_no_example
word,noun,beginnerWords,321,school,学校,,,,,,noun_no_example
word,noun,beginnerWords,322,office,会社,,,,,,noun_no_example
word,noun,beginnerWords,323,station platform,駅のホーム,,,,,,noun_no_example
word,noun,beginnerWords,324,platform,ホーム,,,,,,noun_no_example
word,noun,beginnerWords,325,ticket machine,券売機,,,,,,noun_no_example
word,noun,beginnerWords,326,map,地図,,,,,,noun_no_example
word,noun,beginnerWords,327,guidebook,ガイドブック,,,,,,noun_no_example
word,noun,beginnerWords,328,address,住所,,,,,,noun_no_example
word,noun,beginnerWords,329,city,都市,,,,,,noun_no_example
word,noun,beginnerWords,330,town,町,,,,,,noun_no_example
word,noun,beginnerWords,331,village,村,,,,,,noun_no_example
word,noun,beginnerWords,332,country,国,,,,,,noun_no_example
word,noun,beginnerWords,333,beach,海辺,,,,,,noun_no_example
word,noun,beginnerWords,334,sea,海,,,,,,noun_no_example
word,noun,beginnerWords,335,river,川,,,,,,noun_no_example
word,noun,beginnerWords,336,lake,湖,,,,,,noun_no_example
word,noun,beginnerWords,337,mountain,山,,,,,,noun_no_example
word,noun,beginnerWords,338,forest,森,,,,,,noun_no_example
word,noun,beginnerWords,339,island,島,,,,,,noun_no_example
word,noun,beginnerWords,340,bus,バス,,,,,,noun_no_example
word,noun,beginnerWords,341,train,電車,,,,,,noun_no_example
word,noun,beginnerWords,342,subway,地下鉄,,,,,,noun_no_example
word,noun,beginnerWords,343,taxi,タクシー,,,,,,noun_no_example
word,noun,beginnerWords,344,car,車,,,,,,noun_no_example
word,noun,beginnerWords,345,bicycle,自転車,,,,,,noun_no_example
word,noun,beginnerWords,346,motorcycle,バイク,,,,,,noun_no_example
word,noun,beginnerWords,347,airplane,飛行機,,,,,,noun_no_example
word,noun,beginnerWords,348,ship,船,,,,,,noun_no_example
word,noun,beginnerWords,349,ticket,切符,,,,,,noun_no_example
word,noun,beginnerWords,350,fare,運賃,,,,,,noun_no_example
word,noun,beginnerWords,351,seat,座席,,,,,,noun_no_example
word,noun,beginnerWords,354,head,頭,,,,,,noun_no_example
word,noun,beginnerWords,355,face,顔,,,,,,noun_no_example
word,noun,beginnerWords,356,hair,髪,,,,,,noun_no_example
word,noun,beginnerWords,357,eye,目,,,,,,noun_no_example
word,noun,beginnerWords,358,ear,耳,,,,,,noun_no_example
word,noun,beginnerWords,359,nose,鼻,,,,,,noun_no_example
word,noun,beginnerWords,360,mouth,口,,,,,,noun_no_example
word,noun,beginnerWords,361,tooth,歯,,,,,,noun_no_example
word,noun,beginnerWords,362,neck,首,,,,,,noun_no_example
word,noun,beginnerWords,363,shoulder,肩,,,,,,noun_no_example
word,noun,beginnerWords,364,arm,腕,,,,,,noun_no_example
word,noun,beginnerWords,365,hand,手,,,,,,noun_no_example
word,noun,beginnerWords,366,finger,指,,,,,,noun_no_example
word,noun,beginnerWords,367,back,背中,,,,,,noun_no_example
word,noun,beginnerWords,368,stomach,お腹,,,,,,noun_no_example
word,noun,beginnerWords,369,leg,脚,,,,,,noun_no_example
word,noun,beginnerWords,370,knee,ひざ,,,,,,noun_no_example
word,noun,beginnerWords,371,foot,足,,,,,,noun_no_example
word,noun,beginnerWords,372,toe,足の指,,,,,,noun_no_example
word,noun,beginnerWords,373,heart,心臓,,,,,,noun_no_example
word,noun,beginnerWords,374,body,体,,,,,,noun_no_example
word,noun,beginnerWords,375,health,健康,,,,,,noun_no_example
word,noun,beginnerWords,376,medicine,薬,,,,,,noun_no_example
word,noun,beginnerWords,378,dentist,歯医者,,,,,,noun_no_example
word,noun,beginnerWords,380,fever,熱,,,,,,noun_no_example
word,adjective,beginnerWords,381,cold,風邪,,,,,,needs_example_review
word,noun,beginnerWords,382,cough,せき,,,,,,noun_no_example
word,noun,beginnerWords,383,headache,頭痛,,,,,,noun_no_example
word,noun,beginnerWords,384,stomachache,腹痛,,,,,,noun_no_example
word,noun,beginnerWords,385,pain,痛み,,,,,,noun_no_example
word,noun,beginnerWords,386,injury,けが,,,,,,noun_no_example
word,noun,beginnerWords,387,bandage,包帯,,,,,,noun_no_example
word,noun,beginnerWords,388,mask,マスク,,,,,,noun_no_example
word,noun,beginnerWords,389,soap,石けん,,,,,,noun_no_example
word,noun,beginnerWords,390,shampoo,シャンプー,,,,,,noun_no_example
